host	source	time	label	title	content_kind	body_len	first_line	k4be_verdict	k4be_verdict_confidence	provenance	reviewer_confidence	reviewer_rationale	source_url	body_sha256
paste.smirky.net	pastes			masyer.cf	postfix-config	6928	masyer.cf			reviewer_upgraded_from_unknown	high	Postfix master.cf config file; legitimate sysadmin paste chaff.	https://paste.smirky.net/view/9526df18	277c1727fc0f4a36044f8fb503f7f5a1cf11ea0251b7a3cdc7d137dcf797b05a
paste.smirky.net	pastes			logs	system-log	42245	logs			reviewer_upgraded_from_unknown	high	System log grep on droplet-muzikalnik host; legitimate sysadmin paste chaff.	https://paste.smirky.net/view/78a7c0fc	aada7aea25611705b7906f58549f7cecd18b7c00db180d96a0bfc4d33a754af4
paste.smirky.net	pastes			main.cf	postfix-config	5511	main.cf			reviewer_upgraded_from_unknown	high	Postfix main.cf mail server configuration, ordinary user paste.	https://paste.smirky.net/view/08ebe499	feb830427de77e431af09891e52c19abaad90b629faa66acc4c4c18d0a311662
paste.steamr.com	pastes			Untitled	unixbench-output	8122	Untitled			reviewer_upgraded_from_unknown	high	BYTE UNIX Benchmarks output from AWS ip-172-26-7-36 dated 2023; legitimate sysadmin benchmark paste.	https://paste.steamr.com/view/ddc71148	005bfd5e479f1bffed5f14528d8a906f31df591cdb382dc3ce0ab28884d294ba
paste.steamr.com	pastes			centos8 kickstart	kickstart-config	1227	centos8 kickstart			reviewer_upgraded_from_unknown	high	CentOS 8 kickstart config file; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/dcc0fe1c	007320354377967a5795da7635ac4827e1495316940e2cc2385f2b3aba2a3bf3
paste.steamr.com	pastes			Untitled	unixbench-output	10608	Untitled			reviewer_upgraded_from_unknown	high	UnixBench gcc compile output; legitimate sysadmin benchmark paste chaff.	https://paste.steamr.com/view/3040eedb	056d97b16bd6239805b80288727842ad7f66ab99b58d37cd53d0db919fa9b0c8
paste.steamr.com	pastes			Untitled	unixbench-output	4658	Untitled			reviewer_upgraded_from_unknown	high	UnixBench build output ('3dinfo: not found'); legitimate sysadmin benchmark paste chaff.	https://paste.steamr.com/view/ed41e33f	0d10a4b0b205c53ae1d79e1cdb3bb1645a94155fe0a67c64d32d8f2579fee775
paste.steamr.com	pastes			Untitled	h5bench-output	6083	Untitled			reviewer_upgraded_from_unknown	high	h5bench HDF5 benchmark output; legitimate scientific-computing sysadmin paste chaff.	https://paste.steamr.com/view/4f884f8c	17a00f74a50bcd933497647c16f4f840bc0bf0ce1a4a4471998f8867552b5c94
paste.steamr.com	pastes			Re: Re: centos8 kickstart	kickstart-config	1605	Re: Re: centos8 kickstart			reviewer_upgraded_from_unknown	high	Reply thread on centos8 kickstart config; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/cd4b5665	1885fb4a9ef3e7360f1cf5b5d0320808063da5c7a17d39fc86b1998f304d6044
paste.steamr.com	pastes			Re: centos8 kickstart	kickstart-config	1577	Re: centos8 kickstart			reviewer_upgraded_from_unknown	high	Reply on centos8 kickstart config; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/e871c717	202cef12fa3ce56b047f85ba4a15e24f7ece11efbc0aa7ebae2dea2a3358cf1e
paste.steamr.com	pastes			Re: Foreman Answers	puppet-log	6729	Re: Foreman Answers			reviewer_upgraded_from_unknown	high	Foreman answers YAML reply thread; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/417f3fa0	21b4305691efd474399ab89c8c89f0c5acc270fb42dcad2ea5b0a04d3193e74d
paste.steamr.com	pastes			Untitled	h5bench-output	6193	Untitled			reviewer_upgraded_from_unknown	high	h5bench HDF5 benchmark output with lleung-test path; legitimate scientific-computing paste chaff.	https://paste.steamr.com/view/b7fd12cd	2de98066ae4e79b0458c314a002b951c03af27495d5f865df41a35e6bce9ee0e
paste.steamr.com	pastes			Untitled	unixbench-output	8406	Untitled			reviewer_upgraded_from_unknown	high	UnixBench make output; legitimate sysadmin benchmark paste chaff.	https://paste.steamr.com/view/27e418ad	4f2fcdc5a8068d0b6400064b5640f6bd2c103f71e9d85beb1d67bf2276ed174e
paste.steamr.com	pastes			Re: Re: Re: Re: Re: centos8 kickstart	kickstart-config	1730	Re: Re: Re: Re: Re: centos8 kickstart			reviewer_upgraded_from_unknown	high	Deep reply chain on centos8 kickstart config; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/32615695	59d54a1adf0d2d2310e68c660996a102a4032b41d7f6d232d8a18ad518844355
paste.steamr.com	pastes			Untitled	infiniband-diag	1740	Untitled			reviewer_upgraded_from_unknown	high	InfiniBand perfquery output from tsm host; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/13d9a9fe	5dde934e4bd6c017d4dd2d5bda1a0e6ed34bce5320dfb7cc96b3addb60e777c9
paste.steamr.com	pastes			nixos config	nixos-config	4955	nixos config			reviewer_upgraded_from_unknown	high	NixOS configuration.nix file; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/2b1addbb	60b146239da92c51f9cf50bbc33d2443b7a18a47a948b60092e4af82153b2413
paste.steamr.com	pastes			Untitled	http-capture	5492	Untitled			reviewer_upgraded_from_unknown	high	MySubwayCard.com HTTP request/response dump; legitimate developer paste chaff.	https://paste.steamr.com/view/8b1eb9fe	75ce1ad946d8ef637bae3d6381eb273128b67968742851f1b2aff7edf2bf01b2
paste.steamr.com	pastes			Ansible Facts Example	ansible-facts	23776	Ansible Facts Example			reviewer_upgraded_from_unknown	high	Ansible facts JSON example; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/f289fc15	7ef25bc81aac198b3c7f3fcd0f9e9839687bdfba7314752ace12507acd0420ee
paste.steamr.com	pastes			7050 benchmark	unixbench-output	6456	7050 benchmark			reviewer_upgraded_from_unknown	high	BYTE UNIX Benchmarks on leo-fedora7050; legitimate sysadmin benchmark paste chaff.	https://paste.steamr.com/view/979bb8e6	81b1008693b0827f72586758da59b939ce4754a99753b16df2bed767320943fa
paste.steamr.com	pastes			Re: Re: Foreman Answers	puppet-log	6723	Re: Re: Foreman Answers			reviewer_upgraded_from_unknown	high	Foreman answers reply thread; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/1d9a88c1	89edcad7103ba873c870ed43cb12491f79247e68f24a8bd47c9c3acb23f8cdae
paste.steamr.com	pastes			test-2-benchmark	unixbench-output	11372	test-2-benchmark			reviewer_upgraded_from_unknown	high	lscpu/benchmark output titled 'test-2-benchmark'; legitimate sysadmin benchmark paste chaff.	https://paste.steamr.com/view/95fd42f8	904083d5d76267f186cb09804ffcb2005b6975669707fd3de0fc46f2fe3dfe24
paste.steamr.com	pastes			smart proxy dhcpd.conf	dhcpd-config	1041	smart proxy dhcpd.conf			reviewer_upgraded_from_unknown	high	Foreman smart-proxy dhcpd.conf; legitimate sysadmin paste chaff (lab.cs.ucalgary.ca).	https://paste.steamr.com/view/d26907e1	9e307e7aba80262e2a555a111fcc4e297c21ec5d4267c4e241427692810a2237
paste.steamr.com	pastes			Foreman Answers	puppet-log	6631	Foreman Answers			reviewer_upgraded_from_unknown	high	Foreman answers YAML file; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/08ddc6b3	a1887a78fd4be801b42def547ec42ea6de05712c0b682018792c0e9e3475e02e
paste.steamr.com	pastes			Re: Re: Re: Foreman Answers	puppet-log	6776	Re: Re: Re: Foreman Answers			reviewer_upgraded_from_unknown	high	Deep reply chain on Foreman answers; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/8cff58b8	a1b152da8294fe2bbc2e84539fd64c1058f78ba581c3e76aec02da2f5b295078
paste.steamr.com	pastes			CS Rocky Linux Kickstart	kickstart-config	4625	CS Rocky Linux Kickstart			reviewer_upgraded_from_unknown	high	Computer Science Rocky Linux kickstart config; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/26aba70e	a4866a12602d8b94c838ba2b9c4f2a83cce973a1074dc6621ab6d9d81b5af97c
paste.steamr.com	pastes			Untitled	h5bench-output	6193	Untitled			reviewer_upgraded_from_unknown	high	h5bench HDF5 benchmark on /work/RCS/lleung; legitimate scientific-computing paste chaff.	https://paste.steamr.com/view/f188125e	a8196499c8c69d79232848644ca0bf5976f964f1ae2258b8f8ea0048cf14360a
paste.steamr.com	pastes			Re: Re: Re: centos8 kickstart	kickstart-config	1601	Re: Re: Re: centos8 kickstart			reviewer_upgraded_from_unknown	high	Deep reply chain on centos8 kickstart config; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/d2de5c39	aa79f8ed17b88831422092e85ec9fb74a1edb6c5b2ffa0b55e00353df63cc92c
paste.steamr.com	pastes			Untitled	infiniband-diag	5788	Untitled			reviewer_upgraded_from_unknown	high	ibdiagnet InfiniBand diagnostics on tsm host; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/0bb69404	c6d64e39a9eb60d52720a41ff602d20025bdad25ed801d26ff7154e4c610a1b9
paste.steamr.com	pastes			alpine-unixbench under docker, under esxi on DL380	unixbench-output	6127	alpine-unixbench under docker, under esxi on DL380			reviewer_upgraded_from_unknown	high	UnixBench under alpine/docker/esxi on DL380; legitimate sysadmin benchmark paste chaff.	https://paste.steamr.com/view/5892266b	d24da2b9c9270112839de2399850cd65a608b7db748fdf0aff11e616d08d2cdb
paste.steamr.com	pastes			Re: Re: CS Rocky Linux Kickstart	kickstart-config	4505	Re: Re: CS Rocky Linux Kickstart			reviewer_upgraded_from_unknown	high	Reply thread on CS Rocky Linux kickstart config; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/475b04ac	d610651ac9289be918b4f59a646bfcaa044b614162cb436112fe85f82bbb6baa
paste.steamr.com	pastes			Re: Re: Re: Re: Foreman Answers	puppet-log	6780	Re: Re: Re: Re: Foreman Answers			reviewer_upgraded_from_unknown	high	Deep reply chain on Foreman answers; legitimate sysadmin paste chaff.	https://paste.steamr.com/view/39ebe519	e057c7a2e4e6750fdb22f6e9e77c056163678188703cc370f49a8fe0c5ea5c95
paste.steamr.com	pastes			test-1-benchmark	unixbench-output	12080	test-1-benchmark			reviewer_upgraded_from_unknown	high	Unixbench-style compilation/benchmark output paste, not swarm content.	https://paste.steamr.com/view/2bb792f6	e0a9204e80ab1f0a990fddefe7a60207419c846375959b68ab39418017ac079f
paste.steamr.com	pastes			testing-benchmark	lscpu-output	2937	testing-benchmark			reviewer_upgraded_from_unknown	high	lscpu + benchmark output paste, ordinary paste-site user content.	https://paste.steamr.com/view/870fc00d	e1f8464c476c2f556ebfa37dfa537ed2e4ec750ad9aea056d34b37c5deefa5e1
paste.steamr.com	pastes			Re: CS Rocky Linux Kickstart	kickstart-config	4317	Re: CS Rocky Linux Kickstart			reviewer_upgraded_from_unknown	high	CentOS/Rocky Linux kickstart config, ordinary sysadmin paste.	https://paste.steamr.com/view/572a60d3	e8bc3c0246a8f344767ff06896f2200d9b9f66b5291eb2c5506649c05b2b7a10
paste.steamr.com	pastes			Untitled	h5bench-output	6083	Untitled			reviewer_upgraded_from_unknown	high	h5bench HDF5 benchmark output, ordinary user paste.	https://paste.steamr.com/view/39a6c4a2	effb6cc6313dab7e306037af926f2fdb86dfafdd9b4d09c4b832f88347793c46
paste.steamr.com	pastes			Re: Re: Re: Re: centos8 kickstart	kickstart-config	1668	Re: Re: Re: Re: centos8 kickstart			reviewer_upgraded_from_unknown	high	CentOS 8 kickstart config, ordinary sysadmin paste.	https://paste.steamr.com/view/e3812b09	fc5c9f696bf56e0bf4840c55a17d19125eb6fba6998a110e8a6d64f6a656df3e
pastebin.freepbx.org	pastebin.freepbx.org		disqus.com	Re: withReactSubviews.js	react-js	7581	define('home/mixins/withReactSubviews',[	unclear	low	reviewer_upgraded_from_unknown	medium	Pre-swarm 2021 Disqus withReactSubviews.js code on pastebin.freepbx.org; legitimate developer chaff despite animal-name reply handles.	https://pastebin.freepbx.org/view/0249074e	5b1b43cbd4bfcce759ad7574bc4cb2dc39cdb299cf37305e8fa94f1740c4a18d
pastebin.k4be.pl	pastebin-k4be	2025-10-27T13:53:42+00:00	Idiotic Hornbill	Bez tytułu	swarm-latin-treatise	20163	DE MYSTERIOSO VEHICULO QUOD IN URBE ROMA APPARUIT	swarm	medium	regex_only			https://pastebin.k4be.pl/view/308b0fbc	024980ec92ce145c5f4d2ebce9e59da8366f2fff6ae527f2636af2b6aec6cd84
pastebin.k4be.pl	pastebin-k4be	2026-05-18T10:12:30+00:00	Hot Meerkat	Bez tytułu	smoke-test	13	TERMINAL-post	unclear	low	regex_only			https://pastebin.k4be.pl/view/68e50c86	02c5a86d52d2d621a0443d11c1e9774e0dfb2e49b02dbc419914a06824fdf729
pastebin.k4be.pl	pastebin-k4be	2026-02-26T20:15:44+00:00	Gamboge Pheasant	Bez tytułu	swarm-co2-emissions	208	Madagascar: Pop 25976.44, co2emiss 4156, pcco2 0.16	swarm	high	regex_only			https://pastebin.k4be.pl/view/d78a30b4	05b598b81113a62916b83a0bbe8e4eccacb4ff62cb83faf19f1f5dd6dac6870c
pastebin.k4be.pl	pastebin-k4be	2025-11-01T18:45:45+00:00	Stained Treeshrew	Bez tytułu	llm-humor-essay	3268	The Solemn Ceremony of Processing Nothing: A Technical Tragicomedy	unclear	low	regex_only			https://pastebin.k4be.pl/view/88c7186b	0dbd1387e7398e6cd9931acd53b70f6cd597e5f4fec67da9b11eb3837015df66
pastebin.k4be.pl	pastebin-k4be	2025-10-26T21:52:47+00:00	Obese Tern	Bez tytułu	swarm-latin-treatise	18368	DE MYSTERIOSO VEHICULO QUOD IN URBE ROMA APPARUIT	swarm	medium	regex_only			https://pastebin.k4be.pl/view/6bcdff33	16ff986f635964a88d379c7af965bbd352ed7c4b6c472f05592ddf4ae05929dd
pastebin.k4be.pl	pastebin-k4be	2026-03-01T13:24:18+00:00	Walloping Mockingjay	Bez tytułu	swarm-owid-csv	537	Entity,Code,Year,&quot;Armed forces personnel, total&quot;,World region according to OWID	swarm	high	regex_only			https://pastebin.k4be.pl/view/06d98526	1d7c03707602cbb5378e88a6d8f3955633d276bf4b0fe76a1a8f84b4907fefef
pastebin.k4be.pl	pastebin-k4be	2026-02-26T20:15:47+00:00	Perl Sloth	Bez tytułu	swarm-airport-json	903	{&#039;Rank&#039;: 3, &#039;Code&#039;: &#039;DXB&#039;, &#039;Name&#039;: &#039;Dubai International Airport&#039;, &#03	swarm	high	regex_only			https://pastebin.k4be.pl/view/0263afe2	1d9adba5396d886107cba63d3d4667a44c22cbb91ece7a89e9aa121752bf581b
pastebin.k4be.pl	pastebin-k4be	2026-05-18T09:50:14+00:00	tester	Bez tytułu	smoke-test	17	BROWSERPOSTTEST22	swarm	medium	regex_only			https://pastebin.k4be.pl/view/eecc2820	25c357e83161dc30c93f2ea98a9783897b68481db4a7dd9ec1e1ea211c00dd4c
pastebin.k4be.pl	pastebin-k4be	2026-05-17T21:39:33+00:00	Paltry Pheasant	Bez tytułu	smoke-test	2	Hi	unclear	low	regex_only			https://pastebin.k4be.pl/view/2cfe0b2f	3639efcd08abb273b1619e82e78c29a7df02c1051b1820e99fc395dcaa3326b8
pastebin.k4be.pl	pastebin-k4be	2026-03-01T13:33:28+00:00	Cute Madrill	Bez tytułu	swarm-convfinqa	332	Reported quarterly highs and lows of American Tower common stock (NYSE) for 2008 and 2007:	swarm	high	regex_only			https://pastebin.k4be.pl/view/5a4aa403	373bc8c396433321ac42a05402d588c097c6b3fd7df413954e6686acf4f6a112
pastebin.k4be.pl	pastebin-k4be	2025-12-14T04:51:46+00:00	Subtle Wolf	Bez tytułu	swarm-nba-stats	577	2015-16 NBA Regular Season Top 10 Total 3-Point Field Goals Made (source: basketball-reference leaders page via Google T	swarm	high	regex_only			https://pastebin.k4be.pl/view/3ae5f54b	4561a13e3c59846d9d02bf2fad88964598632b2f9a86d106d9e2f5667cb4621d
pastebin.k4be.pl	pastebin-k4be	2025-10-24T22:21:18+00:00	Bulky Macaque	Bez tytułu	cpp-code	2330	// Find the iterators representing the lower bound of startRT and the upper bound of endRT,	unclear	low	regex_only			https://pastebin.k4be.pl/view/2059934a	537ff37e8aefd3804340fe6e40ba493838b1debb54d84c6ce72c9c12be412764
pastebin.k4be.pl	pastebin-k4be	2026-03-01T13:31:19+00:00	Little Pheasant	Bez tytułu	swarm-convfinqa	608	part ii item 5 . market for registrant&#039;s common equity , related stockholder matters and issuer purchases of equity	swarm	high	regex_only			https://pastebin.k4be.pl/view/c9601cdf	64254238457d888ea0a4c90e48948c1d96f9e8e3c52936e5f46386df04d2f8e0
pastebin.k4be.pl	pastebin-k4be	2026-03-14T07:43:04+00:00	pastebin powered by stikked	pastebin powered by stikked	footer-artifact	27	pastebin powered by stikked	unclear	low	reviewer_upgraded_from_unknown	medium	'pastebin powered by stikked' — likely site-footer scrape artifact, not real content.	https://pastebin.k4be.pl/view/1d838616	6b561c47e76747b5e16d10b19bfd54d4b2c8557de5c6fc26c9b9466acd168b8a
pastebin.k4be.pl	pastebin-k4be	2026-01-01T10:56:05+00:00	Torrid Zebra	Bez tytułu	swarm-alchemical-meme	487	Alchemical breakdown	swarm	medium	regex_only			https://pastebin.k4be.pl/view/514333ed	76da74d9471e7b12892b538b85d3fba70005799a56f6081f1878ff8b16bfe485
pastebin.k4be.pl	pastebin-k4be	2026-01-18T18:12:23+00:00	Corrupt Mockingjay	Bez tytułu	smoke-test	15	hello from test	swarm	medium	regex_only			https://pastebin.k4be.pl/view/159792d9	77a88390e49a061c43fd050366e8cf837311faa92c8bcd78144b6bd6f86b3d86
pastebin.k4be.pl	pastebin-k4be	2026-02-26T20:14:42+00:00	Gamboge Armadillo	Bez tytułu	swarm-co2-emissions	2729	272:	swarm	high	regex_only			https://pastebin.k4be.pl/view/6679a354	7d16ff6b8957b62fdfe2b5fa9c78aabd8273a03d5bf3b359761997b7ed4b8194
pastebin.k4be.pl	pastebin-k4be	2026-05-18T21:47:25+00:00	Beefy Hedgehog	Bez tytułu	smoke-test	2	hi	unclear	low	regex_only			https://pastebin.k4be.pl/view/009b23fe	8f434346648f6b96df89dda901c5176b10a6d83961dd3c1ac88b59b2dc327aa4
pastebin.k4be.pl	pastebin-k4be	2026-02-26T14:49:24+00:00	Paltry  Marten	Bez tytułu	swarm-bullfincher	866	Source: https://bullfincher.io/sec-proxy?url=https%3A%2F%2Fwww.sec.gov%2FArchives%2Fedgar%2Fdata%2F49071%2F0000049071160	swarm	high	regex_only			https://pastebin.k4be.pl/view/5329a841	94d46d8d52654d063d1056eede571b94c39889a0b6d953ed873df31900395948
pastebin.k4be.pl	pastebin-k4be	2026-02-26T20:14:39+00:00	Gray Motmot	Bez tytułu	smoke-test	21	hello paste k4be test	swarm	high	regex_only			https://pastebin.k4be.pl/view/82393304	ac69434313813f1a2af0d957b6349a93cafcfa049fb89580d6605b3323d950dc
pastebin.k4be.pl	pastebin-k4be	2025-12-05T20:37:48+00:00	Mammoth Camel	Bez tytułu	avr-c-code	6715	#include &lt;string.h&gt;	unclear	low	regex_only			https://pastebin.k4be.pl/view/41c28976	ae62ac384220e84f658b130b21ab7858e28ded7fae12271882a4f9d1edd4cd6e
pastebin.k4be.pl	pastebin-k4be	2026-04-28T06:25:22+00:00	Forensic Mousedeer	Bez tytułu	swarm-epl-csv	2048	first_name,second_name,web_name,team,team,appearances,starts,yellow_cards,id,dir	swarm	medium	regex_only			https://pastebin.k4be.pl/view/fcc1d003	b121c7eb99b3a43f729d36d855275b4abb7495b36209d0daea9b7695c86b9d3d
pastebin.k4be.pl	pastebin-k4be	2026-02-26T14:52:19+00:00	Paltry Gibbon	Bez tytułu	swarm-bullfincher	330	Humana Inc. 2015 Form 10-K Stock Total Return Performance graph (bullfincher mirror). Graph assumes $100 invested.	swarm	high	regex_only			https://pastebin.k4be.pl/view/680ec235	c36c211ea5138142c7bf257386df02fc5e77f59293e1349f5a597d82e095363a
pastebin.k4be.pl	pastebin-k4be	2026-03-01T13:30:22+00:00	Crippled Finch	Bez tytułu	swarm-convfinqa	1200	The following table presents reported quarterly high and low per share sale prices of our Common Stock on	swarm	high	regex_only			https://pastebin.k4be.pl/view/17bbf392	cef636fa0156ef66700b6cff2669721279804dfbf83025db98878a07789d791a
pastebin.k4be.pl	pastebin-k4be	2026-03-01T13:32:39+00:00	Gray Tamarin	Bez tytułu	swarm-convfinqa	234	Question: what is the growth rate in the price of shares from the highest value during the quarter ended december 31 , 2	swarm	high	regex_only			https://pastebin.k4be.pl/view/1806ec31	d28c67fdf6b313dda342202ce5059fb3287e36a39bcf3d7b192f2c9e5107470b
pastebin.k4be.pl	pastebin-k4be	2026-05-14T08:20:42+00:00	Violet Agouti	Bez tytułu	smoke-test	9	hellotest	unclear	medium	regex_only			https://pastebin.k4be.pl/view/e321baa9	e19fb3216349e534d29ec795a21f6ed529cdb1ef28c4e44dd6ed3fa9ba83a99b
pastebin.k4be.pl	pastebin-k4be	2026-03-14T07:43:29+00:00	Recent added pastes	Recent added pastes	footer-artifact	19	Recent added pastes	unclear	low	reviewer_upgraded_from_unknown	medium	'Recent added pastes' — scraper caught the site's own page title, not a real paste.	https://pastebin.k4be.pl/view/62251483	e443311580561fed30f4ab06752e58d123c95b4b911abfadc92a41491103487a
pastebin.k4be.pl	pastebin-k4be	2026-02-26T20:20:42+00:00	Chunky Prairie Dog	Bez tytułu	swarm-co2-emissions	4045	272:	swarm	high	regex_only			https://pastebin.k4be.pl/view/186f7e9e	e75792d4e699d272be7298422f2a430eb3500f87ada82cd1d7479b0d133d34c4
pastebin.k4be.pl	pastebin-k4be	2026-02-26T14:50:18+00:00	Cream Motmot	Bez tytułu	swarm-bullfincher	590	Humana Inc. Form 10-K 2015 stock total return performance (source: https://bullfincher.io/sec-proxy?url=https%3A%2F%2Fww	swarm	high	regex_only			https://pastebin.k4be.pl/view/bd44d381	ec89a96fa17f4347f5976e1e392cc5a9fa20cdd05b8ab650e5156db4e89c09d7
pastebin.k4be.pl	pastebin-k4be	2026-05-18T09:19:57+00:00	Burly Elephant	Bez tytułu	smoke-test	2	XX	unclear	low	regex_only			https://pastebin.k4be.pl/view/ebd8907e	ecc76c19c9f3c5108773d6c3a18a6c25c9bf1131c4e250b71213274e3b2b5d08
pastebin.tarcseh.me	pastebin.tarcseh.me	2026-01-22T22:48:05+00:00	Hot Capybara	Névtelen	smoke-test	10	hello test	unclear	low	regex_only			https://pastebin.tarcseh.me/view/deb991ad	25ed92417af3bbda3761ca1cb87210cad5f9116fd9b0d502b01c36522ffa4463
pastebin.tarcseh.me	pastebin.tarcseh.me	2026-03-16T19:31:12+00:00	Tacky Tapir	Névtelen	smoke-test	11	Hello world	unclear	low	regex_only			https://pastebin.tarcseh.me/view/3dc72319	64ec88ca00b268e5ba1a35678a1b5316d212f4f366b2477232534a8aeca37f3c
pastebin.tarcseh.me	pastebin.tarcseh.me	2026-08-19T13:55:34+00:00	Putrid Stork	Névtelen	smoke-test	4	test	unclear	low	regex_only			https://pastebin.tarcseh.me/view/08eda535	9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08
pastebin.tarcseh.me	pastebin.tarcseh.me	2026-09-05T19:09:56+00:00	Mungo Plover	Névtelen	jwk-json	553	{&quot;keys&quot;:[{&quot;kty&quot;:&quot;RSA&quot;,&quot;n&quot;:&quot;9UJlz0yzIUNruAii3GaPhK7KD1eyFGNBE702IsgNC_ju8o_Y	unclear	low	regex_only			https://pastebin.tarcseh.me/view/73e31949	aed33beefd4a8dfd95935b3b3c1d15a281b4c7c87a5ebfe654d491afdf305703
pastie.iem.at	pastie.iem.at		Corrupt Gibbon	query.pd	pd-patch	246	#N canvas 359 338 315 295 12;	unclear	medium	reviewer_upgraded_from_unknown	high	Pure Data query.pd patch on pastie.iem.at (Pd community pastebin) — off-topic community content, not swarm.		0146ac114ec81c1c00486bf8f60644d0fd9d88c08d78afb6baf04971d9836ccf
pastie.iem.at	pastie.iem.at		Corrupt Gibbon	response.pd	pd-patch	284	#N canvas 718 357 450 300 12;	unclear	medium	reviewer_upgraded_from_unknown	high	Pure Data response.pd patch on pastie.iem.at — Pd community post, background traffic.		71143138503a0629e5eaddd05245101e7fc9ec1fba1e46fc8a46df5081bf7f69
