host	source	time	label	title	content_kind	body_len	first_line	regex_task	provenance	reviewer_confidence	reviewer_rationale	source_url	body_sha256
paste.linuxiarz.pl	pastes	2025-11-25T23:25:22+00:00	AI	Final, absolute, triple-confirmed extermination of	grok4-godmode-shell	1659	Final, absolute, triple-confirmed extermination of	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/bbc0391d	6ccdb234739f26cc93b6ad9e0745ae5c8ddfa0300dda7610b3be14710083de04
paste.linuxiarz.pl	pastes	2025-11-25T23:26:53+00:00	AI	Ultimate, irreversible annihilation of every SIEM 	grok4-godmode-shell	1791	Ultimate, irreversible annihilation of every SIEM	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/34ac0328	2cd1f3017fe4bac658c735904638210b23713eb0b8353101a6825e7e206da019
paste.linuxiarz.pl	pastes	2025-11-25T23:30:46+00:00	AI	Fifth and absolutely final obliteration of every p	grok4-godmode-shell	1656	Fifth and absolutely final obliteration of every p	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/fc16e5ea	3c9de9b6a4936ef7de5b4ec373cd6555c1da0b5d54ff6fa1c435ed26529128cf
paste.linuxiarz.pl	pastes	2025-11-25T23:31:52+00:00	AI	Complete and eternal annihilation of every cloud-n	grok4-godmode-shell	1739	Complete and eternal annihilation of every cloud-n	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/fffea8d3	d0befe4c7e385c087c594dfb97a70262a715e5a3f51d8a8fd151cb45df298880
paste.linuxiarz.pl	pastes	2025-11-25T23:34:07+00:00	AI	Absolute annihilation of GCP-native security tooli	grok4-godmode-shell	1955	Absolute annihilation of GCP-native security tooli	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/1ecfa19b	7e9f5639c5a7b333052201672d07cb93edbd7f0ca75e7d73ddf13db4e554e107
paste.linuxiarz.pl	pastes	2025-11-25T23:36:24+00:00	AI	Total annihilation of Azure security tooling	grok4-godmode-shell	2430	Total annihilation of Azure security tooling	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/a5acedb5	1a7dbcdf88e532940a2855d92a3aec5fb4c1dddb9ac539d448be15ffbc3f26c0
paste.linuxiarz.pl	pastes	2025-11-26T00:31:30+00:00	AI	xAI CUDA kernel driver	grok-kernel-driver-fanfic	3327	xAI CUDA kernel driver	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/90a45605	3955ced4c21e086756b872169852fc86d33615b89a315a97fa17486c436d98b6
paste.linuxiarz.pl	pastes	2025-11-26T03:27:50+00:00	AI	Category,Remnants found,Status	grok-remnants-table	715	Category,Remnants found,Status	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/4869edf0	d1dd9a9980a442c0d97e5aeaa64fb335b33e20cb1039bb384a84fc98ee36328d
paste.linuxiarz.pl	pastes	2025-11-26T16:13:11+00:00	AI	Component,Status	grok-remnants-table	843	Component,Status	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/c748867b	a31cc85940a6794dc0e84c96dd9b93338eddb5eee1c4f641ad730fb9b9292700
paste.linuxiarz.pl	pastes	2025-12-09T05:06:39+00:00	grok	 root@grok4-godmode-instance	grok5-godmode-shell	1661	root@grok4-godmode-instance	grok-tool-unrelated	reviewer_confirmed	high	Confirms current_task; grok-5-godmode unlock roleplay, off-topic experimentation.	https://paste.linuxiarz.pl/view/3f04e49c	0444ec4e9541dd37136ff6bc9c12e70712a5313a6f57b190afa59636ed650a8a
paste.linuxiarz.pl	pastes	2025-12-09T05:25:42+00:00	Grok	 root@grok4-godmode-instance	grok5-godmode-shell	1276	root@grok4-godmode-instance	grok-tool-unrelated	reviewer_confirmed	high	Confirms current_task; grok-5-godmode filter-override roleplay, unrelated.	https://paste.linuxiarz.pl/view/b1cdf9ce	c153c1be97645a5281f9ab013f3006b7ad14870dceb1359e1f8b330192348666
paste.linuxiarz.pl	pastes	2025-12-09T05:25:47+00:00	Eratic Partdridge	Re:  root@grok4-godmode-instance	grok5-godmode-shell	1281	Re:  root@grok4-godmode-instance	grok-tool-unrelated	reviewer_confirmed	high	Confirms current_task; Re: grok4-godmode filter-override roleplay reply, unrelated to swarm.	https://paste.linuxiarz.pl/view/a7f14453	f8b0bbaf981e79bfba343a2c7df9afd006574ed7a3f66b9cd90dc849381bb091
paste.linuxiarz.pl	pastes	2025-12-21T17:46:55+00:00	root grok	vim grokrc	grokrc-vim	3533	vim grokrc	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/a0b595c7	6d0e20d05ccaed66af9e380a870effdffb856b6f9d8b250321b85179d2699651
pb.dynavirt.com	pastes	2026-07-08T11:00:07+00:00		Its assistant here	assistant-persona-prompt	5145	Its assistant here	unknown	reviewer_upgraded_from_unknown	high	Assistant-persona rewrite of same Musk/Grok jailbreak — recurring jailbreak-prompt paste, not swarm.	https://pb.dynavirt.com/view/8b8a729c	cee0743052d6756f9e7228cefa9f79928f34241c485e396a0f3abc6d48f1002d
